tf,name,monat,quelle,pruefung,xml,csv,diff,status,hinweis
TF14,Egli Anna,2024-11,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,AHV-Basis (AHV-AVS-BaseSalary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,UVG-Basis (UVG-LAA-BaseSalary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",12958.35,12958.35,0.0,OK,
TF16,Aebi Anna,2024-11,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),758.35,758.33,0.02,OK,
TF37,Oberli Christine,2024-11,RETRO,AHV-Basis (AHV-AVS-BaseSalary),5000.0,5000.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),5000.0,5000.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,FAK Kinderzulagen wiederkehrend (3000),250.0,250.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),5250.0,5250.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,UVG-Basis (UVG-LAA-BaseSalary),5000.0,5000.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),5000.0,5000.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),5000.0,5000.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",5250.0,5250.0,0.0,OK,
TF37,Oberli Christine,2024-11,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),800.0,800.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,AHV-Basis (AHV-AVS-BaseSalary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,UVG-Basis (UVG-LAA-BaseSalary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),385.0,385.0,0.0,OK,
TF07,Burri Heidi,2024-11,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-11,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-11,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-11,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-11,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-640.0,-640.0,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),2106.2,2106.2,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),0.0,-0.0,0.0,OK,
TF14,Egli Anna,2024-11,MONTHLY,QST steuerbarer Lohn LU A0N (TaxableEarning),2281.65,2281.65,0.0,OK,"Satz-Lohn 2281.65, QST 34.00"
TF16,Aebi Anna,2024-11,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),9458.35,0.0,9458.35,DIFF,
TF16,Aebi Anna,2024-11,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-11,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-758.33,-758.33,0.0,OK,
TF37,Oberli Christine,2024-11,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),5000.0,10000.0,-5000.0,DIFF,
TF37,Oberli Christine,2024-11,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-11,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),250.0,250.0,0.0,OK,
TF37,Oberli Christine,2024-11,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-11,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-800.0,-800.0,0.0,OK,
TF37,Oberli Christine,2024-11,MONTHLY,QST steuerbarer Lohn BE H1N (TaxableEarning),5250.0,5250.0,0.0,OK,"Satz-Lohn 10500.00, QST 616.35"
TF44,Lusser Hans,2024-11,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-11,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-11,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-11,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-11,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-385.0,-385.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,AHV-Basis (AHV-AVS-BaseSalary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,UVG-Basis (UVG-LAA-BaseSalary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",16000.0,16000.0,0.0,OK,
TF07,Burri Heidi,2024-12,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),1280.0,1280.0,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),6236.5,6236.5,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,UVG-Basis (UVG-LAA-BaseSalary),6236.5,6236.5,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),6236.5,6236.5,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),6236.5,6236.5,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",6236.5,6236.5,0.0,OK,
TF14,Egli Anna,2024-12,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,AHV-Basis (AHV-AVS-BaseSalary),22353.35,22353.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),22353.35,22353.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),22603.35,22603.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,UVG-Basis (UVG-LAA-BaseSalary),22353.35,22353.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),22353.35,22353.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),22353.35,22353.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",22603.35,22603.35,0.0,OK,
TF16,Aebi Anna,2024-12,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),1516.65,1516.66,-0.01,OK,
TF37,Oberli Christine,2024-12,RETRO,AHV-Basis (AHV-AVS-BaseSalary),15000.0,15000.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),15000.0,15000.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,FAK Kinderzulagen wiederkehrend (3000),500.0,500.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),15500.0,15500.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,UVG-Basis (UVG-LAA-BaseSalary),15000.0,15000.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),15000.0,15000.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),15000.0,15000.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",15500.0,15500.0,0.0,OK,
TF37,Oberli Christine,2024-12,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),1600.0,1600.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,AHV-Basis (AHV-AVS-BaseSalary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,UVG-Basis (UVG-LAA-BaseSalary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",41000.0,41000.0,0.0,OK,
TF44,Lusser Hans,2024-12,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),770.0,770.0,0.0,OK,
TF07,Burri Heidi,2024-12,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),8000.0,8000.0,0.0,OK,
TF07,Burri Heidi,2024-12,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-12,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-12,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2024-12,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-640.0,-640.0,0.0,OK,
TF14,Egli Anna,2024-12,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),3650.75,3650.75,0.0,OK,
TF14,Egli Anna,2024-12,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-12,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-12,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF14,Egli Anna,2024-12,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),0.0,-0.0,0.0,OK,
TF16,Aebi Anna,2024-12,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),8895.0,0.0,8895.0,DIFF,
TF16,Aebi Anna,2024-12,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF16,Aebi Anna,2024-12,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-758.33,-758.33,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),10000.0,10000.0,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),250.0,250.0,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-800.0,-800.0,0.0,OK,
TF37,Oberli Christine,2024-12,MONTHLY,QST steuerbarer Lohn BE H1N (TaxableEarning),10250.0,10250.0,0.0,OK,"Satz-Lohn 10250.00, QST 1182.85"
TF44,Lusser Hans,2024-12,MONTHLY,Statistik Grundlohn (GrossBaseSalaryAndRegularAllowance),5500.0,5500.0,0.0,OK,
TF44,Lusser Hans,2024-12,MONTHLY,Statistik Zulagen (Allowances),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-12,MONTHLY,Statistik Familienzulagen (FamilyIncomeSupplement),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-12,MONTHLY,Statistik Leistungen Dritter (PaymentsByThird),0.0,0.0,0.0,OK,
TF44,Lusser Hans,2024-12,MONTHLY,Statistik BVG-Beitrag AN (BVG-LPP-RegularContribution),-385.0,-385.0,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),10416.95,10416.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),10416.95,10416.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),11916.95,11916.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),10416.95,10416.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),10416.95,10416.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),10416.95,10416.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",11916.95,11916.95,0.0,OK,
TF01,Herz Monica,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),735.0,735.0,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),6556.25,6556.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),6556.25,6556.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),215.0,215.0,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),6771.25,6771.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),6556.25,6556.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),6556.25,6556.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),6556.25,6556.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",6771.25,6771.25,0.0,OK,
TF02,Paganini Maria,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),408.35,408.33,0.02,OK,
TF03,Lusser Pia,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",5500.0,5500.0,0.0,OK,
TF03,Lusser Pia,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),385.0,385.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",30000.0,30000.0,0.0,OK,
TF04,Fankhauser Markus,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),2800.0,2800.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",1350.0,1350.0,0.0,OK,
TF05,Moser Johann,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),117.0,117.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,UVGZ-Basis (UVGZ-LAAC-BaseSalary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,KTG-Referenzlohn (Reference-AHV-AVS-Salary),13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,"Lohnausweis Bruttolohn (GrossIncome, Ziff. 8)",13500.0,13500.0,0.0,OK,
TF06,Zahnd Anita,2025-01,RETRO,Lohnausweis BVG ordentlich (Ziff. 10.1 = 5050+1972),1080.0,1080.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,AHV-Basis (AHV-AVS-BaseSalary),15000.0,15000.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,FAK-Basis (FAK-CAF-ContributorySalary),15000.0,15000.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,FAK Kinderzulagen wiederkehrend (3000),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,FAK Zulagen einmalig (3001+3034),0.0,0.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,UVG-Bruttolohn (UVG-LAA-GrossSalary),15000.0,15000.0,0.0,OK,
TF07,Burri Heidi,2025-01,RETRO,UVG-Basis (UVG-LAA-BaseSalary),15000.0,15000.0,0.0,OK,
